Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
516758,"March 5, 2016",Kansas,Wichita,116 North Mead,0,4,0,0,0,
516341,"March 4, 2016",Ohio,Columbus,900 E 5th Ave,1,3,0,0,1,
509707,"February 21, 2016",Texas,Houston,5100 block of Idaho Street,0,5,0,0,0,
508640,"February 20, 2016",Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,0,0,1,
504879,"February 14, 2016",Texas,Houston,8449 Gulf Freeway,0,4,1,0,0,
501267,"February 6, 2016",California,Los Angeles,12800 block of Cook Street,1,3,0,0,0,
499422,"February 3, 2016",District of Columbia,Washington,1500 block of Butler St SE,0,4,0,0,0,
494378,"January 27, 2016",Virginia,Chesapeake,1401 N. George Washington Hwy,5,0,1,0,0,
491312,"January 23, 2016",California,Los Angeles,8105 Avalon Blvd,2,2,0,0,0,
486728,"January 17, 2016",Virginia,Gloucester,Ditchley Dr and Gill Ln,1,3,0,0,1,
481849,"January 8, 2016",District of Columbia,Washington,1700 E Capitol St NE,0,4,0,0,0,
1015336,"December 26, 2017",Florida,Miami,NW 18th Ave and 86th Ter,0,5,0,0,0,
1012704,"December 21, 2017",Louisiana,Lafayette,1500 block of N University Avenue,0,4,0,0,0,
1011953,"December 21, 2017",Pennsylvania,Philadelphia,6600 block of Dorel St,0,0,1,3,0,
1007054,"December 13, 2017",Ohio,Columbus,200 block of E Barthman Ave,1,3,0,0,0,
1006446,"December 12, 2017",Texas,Garland,1301 Rivercrest Ln,0,4,0,0,0,
995015,"November 24, 2017",Ohio,Cleveland,11618 Buckeye Rd,1,5,0,0,5,
989838,"November 16, 2017",Georgia,Columbus,1400 block of 15th Street,0,7,0,0,0,
988824,"November 14, 2017",California,Richmond,900 Block of View Dr,2,2,0,0,0,
987134,"November 12, 2017",California,Fresno,S Calvin Ave,0,5,0,0,0,
985582,"November 11, 2017",Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,0,0,0,
984455,"November 9, 2017",Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,0,0,0,
980269,"November 4, 2017",Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,0,0,1,
980004,"November 3, 2017",New York,Buffalo,147 Roosevelt Ave,0,4,0,0,0,
975600,"October 29, 2017",Texas,Austin,5500 block of Ave F,1,3,0,0,1,
974704,"October 28, 2017",Virginia,Petersburg,N Sycamore St and Franklin,1,3,0,0,0,
974411,"October 27, 2017",California,San Francisco,1100 block of Fillmore,0,4,0,0,0,
966153,"October 22, 2017",Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,0,0,0,
965251,"October 21, 2017",Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,0,0,0,
960036,"October 15, 2017",Texas,Houston,6233 Gulfton St,2,2,0,0,0,
956942,"October 10, 2017",California,San Francisco,25th St and Treat Ave,0,4,0,0,0,
955268,"October 9, 2017",Texas,Houston,3352 Old Spanish Trail,0,5,0,0,0,
952220,"October 3, 2017",Florida,Miami,2051 NW 65th St,0,4,0,0,0,
945990,"October 1, 2017",Kansas,Lawrence,1000 block of Massachusetts St,3,2,0,0,3,
942628,"September 26, 2017",Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,0,0,1,
